# Timestamps started: 2026-08-31 20:00:00
floatplane_link: https://www.floatplane.com/post/USXN0sR1iJ

00:05:00 - C Y M B A L - T O S S -
00:05:32 - Esther Abrami, No.9 Frank's Waltz
00:06:13 - James Shimoji, Pepsi Man Theme Song
00:12:45 - James Shimoji, Pepsi Man Theme Song
00:18:00 - Raffi, Banana Phone
00:21:50 - Esther Abrami, No.9 Frank's Waltz
00:22:55 - Vennu Mallesh, It's My Life What Ever I Wanna Do
00:28:40 - Super Mario 64, Crank That
00:33:56 - C Y M B A L - T O S S -
00:35:05 - Tim and Eric, Spaghetti Again
00:38:40 - Stardew Valley, Summer (Nature's Crescendo)
00:43:55 - Justin Kintzel, My Name is John Daker
00:48:00 - Hot Dad, All Star (Inverted Cover)
00:52:39 - Animal Crossing, Bubblegum kk
00:57:22 - Kazoo Kid, Trap Remix FUN FUN FUN

